	Manipulation	d ecrasement	Filename	cristallisation_sel_2025-06-06bis.dat	Date	11/6/2025	Time	10:54:00 s	Remarque	ecrasement de  .... d'une epaisseur de 	TempsEntreMesure	60.000 s	TempsRelaxation	0.000 s	CourseTotal	0.000 mm	NbrEcrasement	0



Temps(s)	Position(mm)	Force(g)	Mouvement(0 ou 1)	Résistance(ohm)
0.021	0.000	0.000	0	0.000
30.059	0.000	-152.539	0	0.000
90.032	0.000	-31.585	0	0.000
150.017	0.000	-9.860	0	0.000
210.032	0.000	-9.860	0	0.000
270.031	0.000	-9.860	0	0.000
330.006	0.000	-9.853	0	0.000
390.015	0.000	-9.846	0	0.000
450.035	0.000	-9.848	0	0.000
510.029	0.000	-9.847	0	0.000
570.009	0.000	-9.838	0	0.000
630.028	0.000	-9.830	0	0.000
690.038	0.000	-9.832	0	0.000
750.032	0.000	-9.829	0	0.000
810.047	0.000	-9.819	0	0.000
870.031	0.000	-9.810	0	0.000
930.016	0.000	-9.818	0	0.000
990.040	0.000	-9.808	0	0.000
1050.045	0.000	-9.800	0	0.000
1110.044	0.000	-9.791	0	0.000
1170.039	0.000	-9.800	0	0.000
1230.028	0.000	-9.789	0	0.000
1290.043	0.000	-9.780	0	0.000
1350.052	0.000	-9.771	0	0.000
1410.046	0.000	-9.779	0	0.000
1470.021	0.000	-9.766	0	0.000
1530.010	0.000	-9.757	0	0.000
1590.035	0.000	-9.751	0	0.000
1650.029	0.000	-9.755	0	0.000
1710.024	0.000	-9.745	0	0.000
1770.043	0.000	-9.734	0	0.000
1830.043	0.000	-9.735	0	0.000
1890.047	0.000	-9.734	0	0.000
1950.037	0.000	-9.721	0	0.000
2010.031	0.000	-9.710	0	0.000
2070.041	0.000	-9.710	0	0.000
2130.030	0.000	-9.708	0	0.000
2190.015	0.000	-9.696	0	0.000
2250.024	0.000	-9.686	0	0.000
2310.024	0.000	-9.689	0	0.000
2370.023	0.000	-9.683	0	0.000
2430.033	0.000	-9.670	0	0.000
2490.027	0.000	-9.660	0	0.000
2550.032	0.000	-9.660	0	0.000
2610.036	0.000	-9.655	0	0.000
2670.026	0.000	-9.643	0	0.000
2730.035	0.000	-9.633	0	0.000
2790.039	0.000	-9.639	0	0.000
2850.034	0.000	-9.626	0	0.000
2910.048	0.000	-9.617	0	0.000
2970.043	0.000	-9.610	0	0.000
3030.037	0.000	-9.613	0	0.000
