	Manipulation	d ecrasement	Filename	cristallisation_sel_2025-06-13.dat	Date	13/6/2025	Time	15:18:10 s	Remarque	ecrasement de  .... d'une epaisseur de 	TempsEntreMesure	60.000 s	TempsRelaxation	0.000 s	CourseTotal	0.000 mm	NbrEcrasement	0



Temps(s)	Position(mm)	Force(g)	Mouvement(0 ou 1)	Résistance(ohm)
9210.049	0.000	-6.206	0	0.000
9270.033	0.000	-6.200	0	0.000
9330.033	0.000	-6.200	0	0.000
9390.027	0.000	-6.199	0	0.000
9450.012	0.000	-6.190	0	0.000
9510.011	0.000	-6.190	0	0.000
9570.011	0.000	-6.189	0	0.000
9630.020	0.000	-6.180	0	0.000
9690.015	0.000	-6.180	0	0.000
9750.019	0.000	-6.180	0	0.000
9810.044	0.000	-6.176	0	0.000
9870.043	0.000	-6.170	0	0.000
9930.032	0.000	-6.170	0	0.000
9990.032	0.000	-6.170	0	0.000
10050.016	0.000	-6.160	0	0.000
10110.011	0.000	-6.156	0	0.000
10170.015	0.000	-6.150	0	0.000
10230.025	0.000	-6.150	0	0.000
10290.029	0.000	-6.144	0	0.000
10350.039	0.000	-6.140	0	0.000
10410.048	0.000	-6.140	0	0.000
10470.023	0.000	-6.138	0	0.000
10530.017	0.000	-6.130	0	0.000
10590.042	0.000	-6.130	0	0.000
10650.056	0.000	-6.130	0	0.000
10710.051	0.000	-6.124	0	0.000
10770.045	0.000	-6.120	0	0.000
10830.030	0.000	-6.110	0	0.000
10890.019	0.000	-6.110	0	0.000
10950.014	0.000	-6.110	0	0.000
11010.028	0.000	-6.100	0	0.000
11070.053	0.000	-6.100	0	0.000
11130.027	0.000	-6.098	0	0.000
11190.006	0.000	-6.090	0	0.000
11250.031	0.000	-6.090	0	0.000
11310.030	0.000	-6.090	0	0.000
11370.030	0.000	-6.082	0	0.000
11430.029	0.000	-6.074	0	0.000
11490.034	0.000	-6.070	0	0.000
11550.053	0.000	-6.070	0	0.000
11610.028	0.000	-6.061	0	0.000
11670.012	0.000	-6.060	0	0.000
11730.032	0.000	-6.060	0	0.000
11790.026	0.000	-6.052	0	0.000
11850.026	0.000	-6.050	0	0.000
11910.035	0.000	-6.050	0	0.000
11970.015	0.000	-6.045	0	0.000
12030.029	0.000	-6.040	0	0.000
12090.049	0.000	-6.040	0	0.000
12150.048	0.000	-6.037	0	0.000
12210.028	0.000	-6.030	0	0.000
12270.007	0.000	-6.030	0	0.000
12330.032	0.000	-6.024	0	0.000
12390.026	0.000	-6.018	0	0.000
12450.015	0.000	-6.010	0	0.000
12510.025	0.000	-6.010	0	0.000
12570.024	0.000	-6.007	0	0.000
12630.019	0.000	-6.000	0	0.000
12690.018	0.000	-6.000	0	0.000
12750.033	0.000	-5.998	0	0.000
12810.047	0.000	-5.990	0	0.000
12870.047	0.000	-5.990	0	0.000
12930.021	0.000	-5.985	0	0.000
12990.016	0.000	-5.979	0	0.000
13050.025	0.000	-5.971	0	0.000
13110.030	0.000	-5.975	0	0.000
13170.024	0.000	-5.966	0	0.000
13230.024	0.000	-5.960	0	0.000
13290.048	0.000	-5.960	0	0.000
13350.053	0.000	-5.954	0	0.000
13410.042	0.000	-5.950	0	0.000
13470.032	0.000	-5.950	0	0.000
13530.031	0.000	-5.946	0	0.000
13590.036	0.000	-5.940	0	0.000
13650.045	0.000	-5.940	0	0.000
13710.059	0.000	-5.938	0	0.000
13770.034	0.000	-5.927	0	0.000
13830.028	0.000	-5.920	0	0.000
13890.048	0.000	-5.920	0	0.000
13950.047	0.000	-5.912	0	0.000
14010.042	0.000	-5.910	0	0.000
14070.026	0.000	-5.910	0	0.000
14130.031	0.000	-5.902	0	0.000
14190.030	0.000	-5.897	0	0.000
14250.010	0.000	-5.890	0	0.000
14310.004	0.000	-5.890	0	0.000
14370.009	0.000	-5.884	0	0.000
14430.018	0.000	-5.880	0	0.000
14490.033	0.000	-5.880	0	0.000
14550.032	0.000	-5.872	0	0.000
14610.032	0.000	-5.870	0	0.000
14670.041	0.000	-5.870	0	0.000
14730.026	0.000	-5.864	0	0.000
14790.030	0.000	-5.856	0	0.000
14850.060	0.000	-5.850	0	0.000
14910.039	0.000	-5.850	0	0.000
14970.033	0.000	-5.844	0	0.000
15030.048	0.000	-5.840	0	0.000
15090.022	0.000	-5.840	0	0.000
15150.007	0.000	-5.833	0	0.000
15210.026	0.000	-5.826	0	0.000
15270.031	0.000	-5.820	0	0.000
15330.025	0.000	-5.820	0	0.000
15390.030	0.000	-5.816	0	0.000
15450.014	0.000	-5.809	0	0.000
15510.029	0.000	-5.800	0	0.000
15570.048	0.000	-5.800	0	0.000
15630.048	0.000	-5.799	0	0.000
15690.047	0.000	-5.790	0	0.000
15750.027	0.000	-5.790	0	0.000
15810.031	0.000	-5.784	0	0.000
15870.051	0.000	-5.780	0	0.000
15930.055	0.000	-5.770	0	0.000
15990.035	0.000	-5.770	0	0.000
16050.019	0.000	-5.768	0	0.000
16110.024	0.000	-5.760	0	0.000
16170.018	0.000	-5.760	0	0.000
16230.022	0.000	-5.760	0	0.000
16290.022	0.000	-5.751	0	0.000
16350.026	0.000	-5.743	0	0.000
16410.026	0.000	-5.740	0	0.000
16470.030	0.000	-5.740	0	0.000
16530.040	0.000	-5.730	0	0.000
16590.039	0.000	-5.730	0	0.000
16650.044	0.000	-5.730	0	0.000
16710.033	0.000	-5.723	0	0.000
16770.038	0.000	-5.713	0	0.000
16830.052	0.000	-5.710	0	0.000
16890.047	0.000	-5.710	0	0.000
16950.046	0.000	-5.701	0	0.000
17010.041	0.000	-5.695	0	0.000
17070.035	0.000	-5.690	0	0.000
17130.025	0.000	-5.690	0	0.000
17190.009	0.000	-5.683	0	0.000
17250.009	0.000	-5.680	0	0.000
17310.008	0.000	-5.680	0	0.000
17370.013	0.000	-5.672	0	0.000
17430.037	0.000	-5.662	0	0.000
17490.032	0.000	-5.660	0	0.000
17550.021	0.000	-5.660	0	0.000
17610.045	0.000	-5.653	0	0.000
17670.030	0.000	-5.640	0	0.000
17730.009	0.000	-5.640	0	0.000
17790.029	0.000	-5.639	0	0.000
17850.028	0.000	-5.630	0	0.000
17910.018	0.000	-5.624	0	0.000
17970.027	0.000	-5.620	0	0.000
18030.027	0.000	-5.620	0	0.000
18090.021	0.000	-5.610	0	0.000
18150.031	0.000	-5.604	0	0.000
18210.050	0.000	-5.600	0	0.000
18270.050	0.000	-5.600	0	0.000
18330.039	0.000	-5.593	0	0.000
18390.049	0.000	-5.590	0	0.000
18450.038	0.000	-5.590	0	0.000
18510.028	0.000	-5.583	0	0.000
18570.032	0.000	-5.574	0	0.000
18630.042	0.000	-5.570	0	0.000
18690.041	0.000	-5.570	0	0.000
18750.016	0.000	-5.560	0	0.000
18810.030	0.000	-5.556	0	0.000
18870.029	0.000	-5.553	0	0.000
18930.029	0.000	-5.555	0	0.000
18990.043	0.000	-5.543	0	0.000
19050.028	0.000	-5.540	0	0.000
19110.017	0.000	-5.540	0	0.000
19170.032	0.000	-5.531	0	0.000
19230.046	0.000	-5.524	0	0.000
19290.046	0.000	-5.520	0	0.000
19350.040	0.000	-5.520	0	0.000
19410.025	0.000	-5.512	0	0.000
19470.029	0.000	-5.503	0	0.000
19530.034	0.000	-5.500	0	0.000
19590.018	0.000	-5.500	0	0.000
19650.008	0.000	-5.490	0	0.000
19710.007	0.000	-5.481	0	0.000
19770.022	0.000	-5.480	0	0.000
19830.036	0.000	-5.479	0	0.000
19890.021	0.000	-5.470	0	0.000
19950.010	0.000	-5.470	0	0.000
20010.010	0.000	-5.470	0	0.000
20070.014	0.000	-5.460	0	0.000
20130.038	0.000	-5.450	0	0.000
20190.028	0.000	-5.450	0	0.000
20250.017	0.000	-5.447	0	0.000
20310.032	0.000	-5.440	0	0.000
20370.016	0.000	-5.433	0	0.000
20430.006	0.000	-5.430	0	0.000
20490.030	0.000	-5.426	0	0.000
20550.035	0.000	-5.417	0	0.000
20610.024	0.000	-5.410	0	0.000
20670.024	0.000	-5.410	0	0.000
20730.013	0.000	-5.407	0	0.000
20790.033	0.000	-5.400	0	0.000
20850.047	0.000	-5.400	0	0.000
20910.027	0.000	-5.398	0	0.000
20970.026	0.000	-5.390	0	0.000
21030.036	0.000	-5.380	0	0.000
21090.020	0.000	-5.380	0	0.000
21150.015	0.000	-5.377	0	0.000
21210.014	0.000	-5.370	0	0.000
21270.029	0.000	-5.361	0	0.000
21330.048	0.000	-5.360	0	0.000
21390.028	0.000	-5.360	0	0.000
21450.012	0.000	-5.351	0	0.000
21510.021	0.000	-5.350	0	0.000
21570.021	0.000	-5.350	0	0.000
21630.025	0.000	-5.344	0	0.000
21690.030	0.000	-5.332	0	0.000
21750.034	0.000	-5.330	0	0.000
21810.039	0.000	-5.330	0	0.000
21870.033	0.000	-5.321	0	0.000
21930.043	0.000	-5.316	0	0.000
21990.032	0.000	-5.310	0	0.000
22050.022	0.000	-5.310	0	0.000
22110.021	0.000	-5.300	0	0.000
22170.016	0.000	-5.295	0	0.000
22230.025	0.000	-5.290	0	0.000
22290.045	0.000	-5.290	0	0.000
22350.039	0.000	-5.282	0	0.000
22410.019	0.000	-5.278	0	0.000
22470.023	0.000	-5.270	0	0.000
22530.018	0.000	-5.270	0	0.000
22590.002	0.000	-5.264	0	0.000
22650.027	0.000	-5.259	0	0.000
22710.036	0.000	-5.250	0	0.000
22770.015	0.000	-5.250	0	0.000
22830.020	0.000	-5.244	0	0.000
22890.044	0.000	-5.240	0	0.000
22950.044	0.000	-5.240	0	0.000
23010.048	0.000	-5.234	0	0.000
23070.063	0.000	-5.225	0	0.000
23130.042	0.000	-5.220	0	0.000
23190.027	0.000	-5.220	0	0.000
23250.026	0.000	-5.212	0	0.000
23310.036	0.000	-5.202	0	0.000
23370.050	0.000	-5.200	0	0.000
23430.055	0.000	-5.200	0	0.000
23490.054	0.000	-5.194	0	0.000
23550.029	0.000	-5.185	0	0.000
23610.013	0.000	-5.180	0	0.000
23670.018	0.000	-5.174	0	0.000
23730.032	0.000	-5.164	0	0.000
23790.047	0.000	-5.156	0	0.000
23850.041	0.000	-5.150	0	0.000
23910.046	0.000	-5.150	0	0.000
23970.045	0.000	-5.145	0	0.000
24030.045	0.000	-5.136	0	0.000
24090.049	0.000	-5.130	0	0.000
24150.048	0.000	-5.130	0	0.000
24210.053	0.000	-5.125	0	0.000
24270.032	0.000	-5.118	0	0.000
24330.022	0.000	-5.110	0	0.000
24390.041	0.000	-5.110	0	0.000
24450.046	0.000	-5.104	0	0.000
24510.040	0.000	-5.099	0	0.000
24570.040	0.000	-5.090	0	0.000
