	Manipulation	d ecrasement	Filename	cristallisation_sel_2025-20-06bis.dat	Date	20/6/2025	Time	16:56:53 s	Remarque	ecrasement de  .... d'une epaisseur de 	TempsEntreMesure	60.000 s	TempsRelaxation	0.000 s	CourseTotal	0.000 mm	NbrEcrasement	0



Temps(s)	Position(mm)	Force(g)	Mouvement(0 ou 1)	Résistance(ohm)
9510.051	0.000	0.460	0	0.000
9570.023	0.000	0.460	0	0.000
9630.020	0.000	0.466	0	0.000
9690.037	0.000	0.470	0	0.000
9750.031	0.000	0.470	0	0.000
9810.023	0.000	0.476	0	0.000
9870.040	0.000	0.480	0	0.000
9930.055	0.000	0.488	0	0.000
9990.034	0.000	0.490	0	0.000
10050.039	0.000	0.494	0	0.000
10110.073	0.000	0.500	0	0.000
10170.058	0.000	0.500	0	0.000
10230.045	0.000	0.500	0	0.000
10290.064	0.000	0.505	0	0.000
10350.041	0.000	0.515	0	0.000
10410.021	0.000	0.520	0	0.000
10470.050	0.000	0.523	0	0.000
10530.065	0.000	0.530	0	0.000
10590.069	0.000	0.530	0	0.000
10650.059	0.000	0.539	0	0.000
10710.048	0.000	0.544	0	0.000
10770.058	0.000	0.550	0	0.000
10830.047	0.000	0.550	0	0.000
10890.037	0.000	0.560	0	0.000
10950.046	0.000	0.567	0	0.000
11010.066	0.000	0.570	0	0.000
11070.065	0.000	0.571	0	0.000
11130.059	0.000	0.580	0	0.000
11190.039	0.000	0.584	0	0.000
11250.038	0.000	0.590	0	0.000
11310.038	0.000	0.590	0	0.000
11370.032	0.000	0.592	0	0.000
11430.062	0.000	0.600	0	0.000
11490.041	0.000	0.600	0	0.000
11550.033	0.000	0.605	0	0.000
11610.070	0.000	0.610	0	0.000
11670.055	0.000	0.618	0	0.000
11730.019	0.000	0.620	0	0.000
11790.024	0.000	0.620	0	0.000
11850.020	0.000	0.628	0	0.000
11910.023	0.000	0.640	0	0.000
11970.037	0.000	0.640	0	0.000
12030.037	0.000	0.647	0	0.000
12090.046	0.000	0.650	0	0.000
12150.031	0.000	0.650	0	0.000
12210.035	0.000	0.658	0	0.000
12270.050	0.000	0.661	0	0.000
12330.049	0.000	0.670	0	0.000
12390.074	0.000	0.670	0	0.000
12450.055	0.000	0.680	0	0.000
12510.033	0.000	0.685	0	0.000
12570.022	0.000	0.690	0	0.000
12630.037	0.000	0.690	0	0.000
12690.033	0.000	0.697	0	0.000
12750.011	0.000	0.704	0	0.000
12810.030	0.000	0.710	0	0.000
12870.030	0.000	0.710	0	0.000
12930.039	0.000	0.718	0	0.000
12990.064	0.000	0.725	0	0.000
13050.033	0.000	0.730	0	0.000
13110.023	0.000	0.734	0	0.000
13170.022	0.000	0.740	0	0.000
13230.032	0.000	0.748	0	0.000
13290.031	0.000	0.750	0	0.000
13350.035	0.000	0.754	0	0.000
13410.050	0.000	0.761	0	0.000
13470.049	0.000	0.770	0	0.000
13530.054	0.000	0.770	0	0.000
13590.050	0.000	0.774	0	0.000
13650.048	0.000	0.780	0	0.000
13710.022	0.000	0.780	0	0.000
13770.009	0.000	0.784	0	0.000
13830.036	0.000	0.790	0	0.000
13890.046	0.000	0.796	0	0.000
13950.045	0.000	0.800	0	0.000
14010.035	0.000	0.803	0	0.000
14070.034	0.000	0.810	0	0.000
14130.044	0.000	0.810	0	0.000
14190.018	0.000	0.810	0	0.000
14250.019	0.000	0.819	0	0.000
14310.037	0.000	0.824	0	0.000
14370.027	0.000	0.830	0	0.000
14430.016	0.000	0.833	0	0.000
14490.026	0.000	0.840	0	0.000
14550.035	0.000	0.850	0	0.000
14610.035	0.000	0.850	0	0.000
14670.019	0.000	0.854	0	0.000
14730.049	0.000	0.860	0	0.000
14790.063	0.000	0.868	0	0.000
14850.023	0.000	0.870	0	0.000
14910.032	0.000	0.875	0	0.000
14970.032	0.000	0.885	0	0.000
