	Manipulation	d ecrasement	Filename	cristallisation_sel_2025-18-06.dat	Date	18/6/2025	Time	09:27:15 s	Remarque	ecrasement de  .... d'une epaisseur de 	TempsEntreMesure	60.000 s	TempsRelaxation	0.000 s	CourseTotal	0.000 mm	NbrEcrasement	0



Temps(s)	Position(mm)	Force(g)	Mouvement(0 ou 1)	Résistance(ohm)
0.020	0.000	0.000	0	0.000
30.048	0.000	0.000	0	0.000
90.008	0.000	-0.006	0	0.000
150.042	0.000	0.007	0	0.000
210.046	0.000	0.019	0	0.000
270.018	0.000	0.019	0	0.000
330.018	0.000	0.016	0	0.000
390.040	0.000	0.033	0	0.000
450.074	0.000	0.040	0	0.000
510.046	0.000	0.030	0	0.000
570.039	0.000	0.042	0	0.000
630.057	0.000	0.052	0	0.000
690.030	0.000	0.068	0	0.000
750.014	0.000	0.054	0	0.000
810.027	0.000	0.060	0	0.000
870.026	0.000	0.073	0	0.000
930.013	0.000	0.079	0	0.000
990.032	0.000	0.077	0	0.000
1050.030	0.000	0.088	0	0.000
1110.044	0.000	0.097	0	0.000
1170.055	0.000	0.096	0	0.000
1230.023	0.000	0.096	0	0.000
1290.018	0.000	0.113	0	0.000
1350.049	0.000	0.120	0	0.000
1410.068	0.000	0.113	0	0.000
1470.066	0.000	0.118	0	0.000
1530.065	0.000	0.131	0	0.000
1590.037	0.000	0.139	0	0.000
1650.041	0.000	0.131	0	0.000
1710.069	0.000	0.137	0	0.000
1770.048	0.000	0.150	0	0.000
1830.055	0.000	0.159	0	0.000
1890.044	0.000	0.153	0	0.000
1950.027	0.000	0.161	0	0.000
2010.058	0.000	0.174	0	0.000
2070.063	0.000	0.178	0	0.000
2130.032	0.000	0.176	0	0.000
2190.030	0.000	0.188	0	0.000
2250.046	0.000	0.200	0	0.000
2310.026	0.000	0.191	0	0.000
2370.033	0.000	0.196	0	0.000
2430.053	0.000	0.208	0	0.000
2490.034	0.000	0.219	0	0.000
2550.019	0.000	0.210	0	0.000
2610.026	0.000	0.216	0	0.000
2670.036	0.000	0.229	0	0.000
2730.027	0.000	0.225	0	0.000
2790.019	0.000	0.233	0	0.000
2850.051	0.000	0.240	0	0.000
2910.051	0.000	0.250	0	0.000
2970.045	0.000	0.244	0	0.000
3030.047	0.000	0.259	0	0.000
3090.049	0.000	0.266	0	0.000
3150.038	0.000	0.272	0	0.000
3210.038	0.000	0.270	0	0.000
3270.035	0.000	0.275	0	0.000
3330.042	0.000	0.290	0	0.000
3390.066	0.000	0.294	0	0.000
3450.036	0.000	0.282	0	0.000
3510.043	0.000	0.298	0	0.000
3570.065	0.000	0.313	0	0.000
3630.059	0.000	0.306	0	0.000
3690.072	0.000	0.309	0	0.000
3750.071	0.000	0.324	0	0.000
3810.068	0.000	0.333	0	0.000
3870.052	0.000	0.325	0	0.000
3930.025	0.000	0.336	0	0.000
3990.011	0.000	0.350	0	0.000
4050.011	0.000	0.347	0	0.000
4110.028	0.000	0.342	0	0.000
4170.027	0.000	0.355	0	0.000
4230.014	0.000	0.364	0	0.000
4290.029	0.000	0.365	0	0.000
4350.045	0.000	0.366	0	0.000
4410.062	0.000	0.380	0	0.000
4470.077	0.000	0.390	0	0.000
